movie_title,movie_imdb_link,movie_facebook_likes,director_name,director_facebook_likes,actor_1_name,actor_1_facebook_likes,actor_2_name,actor_2_facebook_likes,actor_3_name,actor_3_facebook_likes,cast_total_facebook_likes
Monsters vs. Aliens,http://www.imdb.com/title/tt0892782/?ref_=fn_tt_tt_1,2200.0,Rob Letterman,11.0,Reese Witherspoon,3800.0,Seth Rogen,5100.0,Hugh Laurie,5200.0,35879.0
Evan Almighty,http://www.imdb.com/title/tt0413099/?ref_=fn_tt_tt_1,2000.0,Tom Shadyac,293.0,Steve Carell,7000.0,Morgan Freeman,11000.0,Lauren Graham,1300.0,117538.0
47 Ronin,http://www.imdb.com/title/tt1335975/?ref_=fn_tt_tt_1,36000.0,Carl Rinsch,48.0,Keanu Reeves,19000.0,Hiroyuki Sanada,1400.0,Ko Shibasaki,220.0,24766.0
Wild Wild West,http://www.imdb.com/title/tt0120891/?ref_=fn_tt_tt_1,2200.0,Barry Sonnenfeld,191.0,Will Smith,10000.0,Kevin Kline,1100.0,Kenneth Branagh,4700.0,26490.0
Guardians of the Galaxy,http://www.imdb.com/title/tt2015381/?ref_=fn_tt_tt_1,97000.0,James Gunn,594.0,Chris Pratt,3000.0,Zoe Saldana,8200.0,Dave Bautista,1800.0,62259.0
Captain America: The Winter Soldier,http://www.imdb.com/title/tt1843866/?ref_=fn_tt_tt_1,55000.0,Anthony Russo,95.0,Chris Evans,11000.0,Samuel L. Jackson,7200.0,Scarlett Johansson,19000.0,67116.0
Waterworld,http://www.imdb.com/title/tt0114898/?ref_=fn_tt_tt_1,5500.0,Kevin Reynolds,59.0,Kevin Costner,4100.0,Chaim Jeraffi,7.0,Rick Aviles,62.0,5115.0
Dawn of the Planet of the Apes,http://www.imdb.com/title/tt2103281/?ref_=fn_tt_tt_1,45000.0,Matt Reeves,199.0,Andy Serkis,3800.0,Jason Clarke,1500.0,Gary Oldman,10000.0,22373.0
Time Traveller,http://www.imdb.com/title/tt1321869/?ref_=fn_tt_tt_1,689.0,Roland Joff,623.0,Josh Hartnett,3600.0,Bipasha Basu,283.0,Tamsin Egerton,620.0,5604.0
The Polar Express,http://www.imdb.com/title/tt0338348/?ref_=fn_tt_tt_1,10000.0,Robert Zemeckis,1400.0,Tom Hanks,15000.0,Leslie Zemeckis,35.0,Eddie Deezen,729.0,16291.0
Snow White and the Huntsman,http://www.imdb.com/title/tt1735898/?ref_=fn_tt_tt_1,53000.0,Rupert Sanders,274.0,Kristen Stewart,17000.0,Chris Hemsworth,26000.0,Charlize Theron,9100.0,77729.0
Iron Man 2,http://www.imdb.com/title/tt1228705/?ref_=fn_tt_tt_1,18000.0,Jon Favreau,4100.0,Robert Downey Jr.,21000.0,Gwyneth Paltrow,4100.0,Don Cheadle,3000.0,78349.0
Van Helsing,http://www.imdb.com/title/tt5197820/?ref_=fn_tt_tt_1,1400.0,Kelly Overton,693.0,Kelly Overton,693.0,Jonathan Scarfe,83.0,Rukiya Bernard,41.0,2841.0
Shrek Forever After,http://www.imdb.com/title/tt0892791/?ref_=fn_tt_tt_1,6600.0,Mike Mitchell,33.0,Mike Myers,1400.0,Eddie Murphy,3600.0,Cameron Diaz,4900.0,33565.0
Alice Through the Looking Glass,http://www.imdb.com/title/tt2567026/?ref_=fn_tt_tt_1,32000.0,James Bobin,35.0,Johnny Depp,40000.0,Mia Wasikowska,3100.0,Helena Bonham Carter,7700.0,107520.0
Terminator 3: Rise of the Machines,http://www.imdb.com/title/tt0181852/?ref_=fn_tt_tt_1,3500.0,Jonathan Mostow,84.0,Arnold Schwarzenegger,7800.0,Nick Stahl,647.0,Claire Danes,3800.0,14582.0
Big Hero 6,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,42000.0,Don Hall,38.0,Scott Adsit,317.0,Ryan Potter,270.0,Daniel Henney,721.0,17603.0
How to Train Your Dragon,http://www.imdb.com/title/tt0892769/?ref_=fn_tt_tt_1,33000.0,Dean DeBlois,254.0,Jay Baruchel,3900.0,Gerard Butler,18000.0,Craig Ferguson,761.0,39869.0
Independence Day: Resurgence,http://www.imdb.com/title/tt1628841/?ref_=fn_tt_tt_1,72000.0,Roland Emmerich,791.0,Liam Hemsworth,7300.0,Jeff Goldblum,6600.0,Jessie T. Usher,119.0,26876.0
Wreck-It Ralph,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,40000.0,Rich Moore,66.0,John C. Reilly,2800.0,Sarah Silverman,941.0,Jack McBrayer,978.0,24178.0
Doctor Strange,http://www.imdb.com/title/tt1211837/?ref_=fn_tt_tt_1,43000.0,Scott Derrickson,306.0,Benedict Cumberbatch,19000.0,Chiwetel Ejiofor,3500.0,Rachel McAdams,8200.0,48995.0
Cowboys and Aliens,http://www.imdb.com/title/tt3527324/?ref_=fn_tt_tt_1,7.0,Chaz W. Howard,1.0,,,,,,,0.0
Interstellar,http://www.imdb.com/title/tt0816692/?ref_=fn_tt_tt_1,351000.0,Christopher Nolan,22000.0,Ellen Burstyn,1000,Matthew McConaughey,12000,Mackenzie Foy,6000,42125.0
Tomorrowland,http://www.imdb.com/title/tt1964418/?ref_=fn_tt_tt_1,37000.0,Brad Bird,675.0,George Clooney,9400,Hugh Laurie,5200,Britt Robertson,2400,24890.0
Shrek the Third,http://www.imdb.com/title/tt0413267/?ref_=fn_tt_tt_1,1300.0,Chris Miller,50.0,Mike Myers,1400,Eddie Murphy,3600,Cameron Diaz,4900,30963.0
The Hunger Games: Mockingjay - Part 2,http://www.imdb.com/title/tt1951266/?ref_=fn_tt_tt_1,38000.0,Francis Lawrence,507.0,Jennifer Lawrence,34000,Josh Hutcherson,14000,Liam Hemsworth,7300,124388.0
The Fast and the Furious,http://www.imdb.com/title/tt0232500/?ref_=fn_tt_tt_1,14000.0,Rob Cohen,359.0,Paul Walker,23000,Vin Diesel,14000,Michelle Rodriguez,8500,54992.0
